,id,name,한줄평,순위,분류열,긍정확률,부정확률,평점
355,93522583,어떻게말해줘야할까,30,4, 국내도서    가정 살림    육아    육아법 육아일기    국내도서    가정 살림    자녀교육    자녀교육일반     일생의기술     대화가필요해     자녀와의대화     부모는처음이라     부모가된다는것     부모와아이가행복한육아     아이를키운다면한번쯤     대화의기술 ,0.8171217133601506,0.18287828663984934,4.9
474,97538681,강방천의관점,30,5, 국내도서    경제 경영    투자 재테크    주식 증권     유퀴즈온더블럭_자기님들 ,0.7570957720279694,0.24290422797203065,4.9
447,97246346,엔드오브타임,18,5, 국내도서    자연과학    물리학    물리학 일반    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레     유시민추천도서     과학_물화생지 ,0.6724616520934634,0.3275383479065365,4.777777777777779
453,97275217,푸른사자와니니3,30,5, 국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     무료배송쿠폰도서 ,0.8422966212034225,0.15770337879657745,4.933333333333334
614,99112525,2021김중규ALLPASS선행정학모의고사지방·서울9급,4,6, 국내도서    수험서 자격증    공무원    행정학    문제집 모의고사     국내도서    수험서 자격증    공무원    직군별 문제집    교육행정직    행정학    문제집 모의고사     선행정학모의고사     실전모의고사 ,0.7398992478847504,0.26010075211524963,3.75
417,96644794,주린이가가장알고싶은최다질문TOP77,30,6, 국내도서    경제 경영    투자 재테크    주식 증권     주린이힘내힘내      주식투자     주식초보     주식투자입문     삼프로TV ,0.7333229968945185,0.2666770031054815,4.833333333333333
633,99184511,왜일하는가,3,6, 국내도서    경제 경영    경영    경영일반    국내도서    경제 경영    경영    기업 경영자스토리    국내도서    경제 경영    CEO 비즈니스맨    성공학 경력관리    국내도서    경제 경영    CEO 비즈니스맨    기업 경영자스토리 ,0.9388427138328552,0.061157286167144775,5.0
427,96793810,주식공부5일완성,18,7, 국내도서    경제 경영    투자 재테크    주식 증권     주린이힘내힘내  ,0.7525690479411019,0.2474309520588981,4.777777777777779
672,99475212,정재승의인간탐구보고서6,7,7, 국내도서    어린이    3 4학년    3 4학년 학습    3 4학년 과학 환경    국내도서    어린이    5 6학년    5 6학년 학습    5 6학년 과학 환경    국내도서    어린이    초등학습    과학 환경 ,0.8578924451555524,0.14210755484444754,5.0
403,96025067,메타버스,30,7, 국내도서    경제 경영    마케팅 세일즈    마케팅 브랜드    국내도서    경제 경영    마케팅 세일즈    트렌드 미래예측    국내도서    경제 경영    인터넷비즈니스    e 비즈니스    국내도서    경제 경영    인터넷비즈니스     디지털플랫폼     디지털컨택트사회     언택트시대를사는법     언택트시대     초월적존재     시공초월 ,0.8288743247588476,0.17112567524115244,4.666666666666667
80,18841857,푸른사자와니니,30,8, 국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레     성장물     모험동화     관계 ,0.8567481319109599,0.1432518680890401,4.9
205,74261416,우리가빛의속도로갈수없다면,30,8, 국내도서    소설 시 희곡    장르소설    SF    국내도서    소설 시 희곡    한국소설    한국 단편소설    국내도서    국내문학상 수상작    오늘의 작가상    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레    국내도서    미디어 추천    경향신문    국내도서    YES24 올해의 책    2019년 올해의 책 후보도서     KBS2TV북유럽     예쁜표지     MD의구매리스트     북클러버의선택     HERSTORY     책읽아웃     더울땐SF     소외된사람들을위하여     sf 미래물 ,0.787280622124672,0.21271937787532808,4.566666666666666
508,97927267,설민석의한국사대모험16,29,8, 국내도서    어린이    1 2학년    1 2학년 만화 애니메이션    1 2학년 역사 인물만화    국내도서    어린이    3 4학년    3 4학년 만화 애니메이션    3 4학년 역사 인물만화    국내도서    어린이    5 6학년    5 6학년 만화 애니메이션    5 6학년 역사 인물만화    국내도서    어린이    학습만화 코믹스    역사 인물만화     어린이한국사 ,0.8954529680054764,0.10454703199452367,4.827586206896552
656,99358996,2021심우철실전동형모의고사SEASON3,10,9, 국내도서    수험서 자격증    공무원    영어    문제집 모의고사     국내도서    수험서 자격증    공무원    영어     동형모의고사 ,0.7672911703586578,0.23270882964134215,5.0
167,64694842,당신이옳다(40만부기념‘한사람’리커버),30,9, 국내도서    인문    심리    주제로 읽는 심리학    쉽게 읽는 심리학    국내도서    인문    심리    주제로 읽는 심리학    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레    국내도서    YES24 올해의 책    2019년 올해의 책 후보도서     KBS2TV북유럽     방탄RM이추천한책     감정공부     나를일으키는문장     나를바라보다     먹먹한마음묵묵히모음     뭐읽지     책선물     문재인대통령이읽은책     일상을위로하다 ,0.8641020625829696,0.13589793741703032,4.833333333333333
302,90872322,기분이태도가되지않게(10만부기념봄에디션),30,9, 국내도서    자기계발    처세술 삶의 자세    국내도서    YES24 올해의 책    2020년 올해의 책 후보도서    국내도서    YES24 올해의 책    2020년 올해의 책 선정도서     다시보는2020     올해의책     마음다스리기     분노조절잘해      인간관계     심리학처방전 ,0.6666278113921483,0.33337218860785167,4.366666666666666
490,97665161,이상한과자가게전천당10,30,10, 국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 추리 탐정 공포    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 추리 탐정 공포    국내도서    어린이    어린이 문학    그림 동화책    창작동화    국내도서    어린이    어린이 문학    그림 동화책    추리 탐정 공포     환상동화 ,0.9039469381173452,0.09605306188265482,5.0
468,97418314,"빌게이츠,기후재앙을피하는법",30,10, 국내도서    사회 정치    생태 환경    생태 환경 일반    국내도서    자연과학    공학    환경 도시공학    국내도서    경제 경영    마케팅 세일즈    트렌드 미래예측    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레     어렵지만읽어볼만한책      지구가아파가지구     기후위기 ,0.6855539927879969,0.31444600721200305,4.733333333333333
688,100285841,룬의아이들-블러디드4,8,10, 국내도서    소설 시 희곡    장르소설    판타지    국내도서    소설 시 희곡    한국소설    한국 장편소설     해외에서인기있는한국소설     빠져드는흡인력     전설의레전드     판타지 SF     믿고보는시리즈 ,0.8690071478486061,0.1309928521513939,4.875
504,97814459,2021최신판위포트한국전력공사KEPCO직무능력검사NCS실전봉투모의고사,1,11, 국내도서    수험서 자격증    취업 상식 적성검사    공사 공단 NCS    한국전력공사 ,0.9521164894104004,0.04788351058959961,5.0
596,99018415,2021제12회젊은작가상수상작품집,30,11, 국내도서    소설 시 희곡    한국소설    한국 단편소설    국내도서    국내문학상 수상작    젊은작가상 수상작     믿고보는시리즈     이가격실화  ,0.6917391379674276,0.3082608620325724,4.166666666666667
586,98984525,어린이를위한초등매일글쓰기의힘:논술쓰기,2,11, 국내도서    가정 살림    자녀교육    자녀교육일반     초등글쓰기      무료배송쿠폰도서 ,0.9700481295585632,0.029951870441436768,5.0
669,99424989,인구대역전,6,12, 국내도서    경제 경영    경영    경영일반    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    동아일보 ,0.8452551265557607,0.1547448734442393,5.0
509,97948340,질서너머,30,12, 국내도서    인문    심리    심리학 이론    국내도서    미디어 추천    조선일보     성공과성장     베스트셀러후속작 ,0.6568384408950806,0.3431615591049194,4.5
618,99122570,동경대전1,8,13, 국내도서    종교    세계종교    기타종교    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    한겨레 ,0.6802003532648087,0.31979964673519135,5.0
92,24259730,꽃을보듯너를본다,30,13, 국내도서    소설 시 희곡    시 희곡    한국 시     유퀴즈온더블럭_자기님들     방탄소년단이읽은책     방탄책방      방탄제이홉이추천한책     시시한게좋아     드라마에소개된책     감성     선물하기좋은시집     남자친구 ,0.9079205960035324,0.0920794039964676,4.833333333333333
234,84768464,ETS토익정기시험기출문제집1000Vol.2LISTENING리스닝,29,13, 국내도서    국어 외국어 사전    영어    토익 TOEIC    청해 LC     토익만점기출로잡는다     기출이답이다     분철 ,0.7328845838020588,0.2671154161979412,4.931034482758621
377,95161627,"나태주,시간의쉼표",20,14, 국내도서    소설 시 희곡    시 희곡    한국 시     유퀴즈온더블럭_자기님들     일상을위로하다     감성 ,0.9350170731544495,0.06498292684555054,4.95
26,3906369,만복이네떡집,30,14, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     세이브위드스토리     초등교과서수록도서     말장난     생활동화 ,0.9050848265488942,0.09491517345110576,4.8
665,99400850,흔한남매별난방탈출2,10,14, 국내도서    어린이    3 4학년    3 4학년 놀이    3 4학년 퍼즐 퀴즈 유머 수수께끼    국내도서    어린이    5 6학년    5 6학년 놀이    5 6학년 퍼즐 퀴즈 유머 수수께끼    국내도서    어린이    어린이 교양    놀이    퍼즐 퀴즈 유머 수수께끼 ,0.8716911613941193,0.12830883860588074,4.8
621,99128786,"서른살,비트코인으로퇴사합니다",18,15, 국내도서    경제 경영    투자 재테크    재테크일반     코린이 ,0.6332074569331275,0.3667925430668725,4.666666666666667
71,16384156,이토록공부가재미있어지는순간,30,15, 국내도서    청소년    공부법    국내도서    청소년    청소년 문학    국내도서    YES24 올해의 책    2015년 올해의 책 후보도서     일생의기술     공부법     힐링     공부권태기 ,0.7586789776881536,0.2413210223118464,4.8
16,2599166,TheSecret시크릿,30,15, 국내도서    자기계발    처세술 삶의 자세    국내도서    YES24 올해의 책    2007년 올해의 책 후보도서    국내도서    YES24 올해의 책    2007년 올해의 책 선정도서     탑골공원책벌레     올해의책     생활습관 ,0.8530742088953654,0.1469257911046346,4.666666666666667
529,98259368,넥스트테슬라를찾아라,10,16, 국내도서    경제 경영    투자 재테크    주식 증권     미국주식 ,0.7991021990776062,0.2008978009223938,4.8
667,99423418,스파이패밀리SpyFamily6,17,16, 국내도서    만화 라이트노벨    액션 ,0.7936372529057896,0.20636274709421046,5.0
602,99100281,2021선재국어나침판실전모의고사vol.2,20,16, 국내도서    수험서 자격증    공무원    국어 한문     문제집 모의고사     국내도서    수험서 자격증    공무원    경찰공무원 승진     승진시험    국내도서    수험서 자격증    공무원    경찰공무원 승진     국내도서    수험서 자격증    공무원    소방공무원 승진     소방승진    국내도서    수험서 자격증    공무원    직군별 문제집    법원직     공무원모의고사     실전모의고사 ,0.7636755526065826,0.23632444739341735,5.0
653,99309602,읽으면서바로써먹는어린이사자성어,5,17, 국내도서    어린이    1 2학년    1 2학년 학습    1 2학년 속담 고사성어 명언    국내도서    어린이    3 4학년    3 4학년 학습    3 4학년 속담 고사성어 명언    국내도서    어린이    5 6학년    5 6학년 학습    5 6학년 속담 고사성어 명언    국내도서    어린이    초등학습    속담 고사성어 명언 ,0.7772339880466461,0.22276601195335388,5.0
654,99351629,밤을걷는밤,13,17, 국내도서    에세이    명사 연예인 에세이     국내도서    에세이    한국 에세이    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    동아일보     잠못드는당신에게     새벽에읽기좋은책     일상의아름다움     연예인작가     노래하는작가     걷기의즐거움     산책이주는것 ,0.9215048276461087,0.07849517235389122,4.846153846153847
182,68785019,불량한자전거여행2,24,17, 국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화    국내도서    미디어 추천    한겨레 ,0.8830613854030768,0.11693861459692319,4.875
329,92099619,좋은사람에게만좋은사람이면돼(봄에디션),30,18, 국내도서    에세이    한국 에세이    국내도서    미디어 추천    동아일보     일상을위로하다     다정한말들 ,0.8822985470294953,0.11770145297050476,4.933333333333334
661,99396245,그게너였으면좋겠다,11,18, 국내도서    에세이    한국 에세이     일상을위로하다 ,0.8729250783270056,0.12707492167299445,4.909090909090909
357,93716622,하루1분초간단스트레칭,6,18, 국내도서    건강 취미    질병과 치료법    국내도서    건강 취미    요가 체조 기타     일상운동     건강한삶     새해결심     생활습관 ,0.61626964310805,0.38373035689194995,4.5
481,97636690,흔한남매7,26,19, 국내도서    어린이    1 2학년    1 2학년 만화 애니메이션    1 2학년 애니메이션 영화드라마 원작    국내도서    어린이    3 4학년    3 4학년 만화 애니메이션    3 4학년 애니메이션 영화드라마 원작    국내도서    어린이    학습만화 코믹스    애니메이션 영화드라마 원작     유튜버 ,0.8074347502910174,0.19256524970898262,4.6923076923076925
281,89938914,장군이네떡집,30,19, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     성장물     무료배송쿠폰도서 ,0.8917915026346842,0.10820849736531575,4.833333333333333
501,97784717,주택과세금,30,19, 국내도서    경제 경영    투자 재테크    부동산 경매    국내도서    미디어 추천    조선일보     부동산투자     부동산세테크     재테크는절약부터 ,0.7304992606242497,0.2695007393757502,4.8
21,3486146,불량한자전거여행,30,20, 국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화    국내도서    미디어 추천    한겨레    국내도서    행복한아침독서 책둥이 추천    2010 어린이 고학년 추천도서     자전거여행     로드무비 ,0.8560698608557383,0.14393013914426167,4.933333333333334
128,44816633,개미대학세력의매집원가구하기,30,20, 국내도서    경제 경영    투자 재테크    주식 증권    국내도서    경제 경영    투자 재테크    재테크일반    국내도서    경제 경영    투자 재테크     주린이힘내힘내      주식투자입문     부자되는법     돈은없지만     돈좀벌어보자 ,0.6834568997224172,0.3165431002775828,4.833333333333333
464,97404824,나의첫투자수업2투자편,29,20, 국내도서    경제 경영    투자 재테크    주식 증권     주린이힘내힘내      주식투자입문     주식투자     주식초보 ,0.7391844062969603,0.26081559370303975,4.655172413793104
220,77283025,푸른사자와니니2,30,21, 국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화    국내도서    미디어 추천    한겨레     무료배송쿠폰도서 ,0.8605112840731939,0.13948871592680614,4.733333333333333
443,97156329,귀멸의칼날22,30,21, 국내도서    만화 라이트노벨    판타지     이만화가대단하다     소년만화     명작만화 ,0.7571583231290181,0.24284167687098185,4.9
632,99184494,디테일사전(도시편),1,21, 국내도서    인문    글쓰기     글쓰기 일반  ,0.9713180065155028,0.02868199348449707,5.0
146,58552371,세계를건너너에게갈게,30,22, 국내도서    청소년    청소년 문학    국내도서    YES24 올해의 책    2018년 올해의 책 후보도서     긴여운     판타지 ,0.8364747017621994,0.1635252982378006,4.866666666666666
472,97522081,마지막몰입:나를넘어서는힘,30,22, 국내도서    자기계발    성공학 경력관리     나도몰랐던나를찾아     성공하고싶다면 ,0.7292653858661652,0.2707346141338348,4.733333333333333
15,2312211,코스모스,30,22, 국내도서    자연과학    천문학    별자리와 천체관측    국내도서    자연과학    천문학    천문학 일반    국내도서    한국과학창의재단 우수과학도서    2007년 상반기     과학_물화생지     김미경TV     북클러버의선택     요즘책방 책읽어드립니다     내말이사이언스     멜로디책방     우주     명강의     알쓸신잡     교양쌓기 ,0.7687199453512827,0.23128005464871723,4.9
593,99011259,너에게하고싶은말,1,23, 국내도서    에세이    한국 에세이 ,0.9923003315925598,0.0076996684074401855,5.0
338,92462696,마음챙김의시,30,23, 국내도서    소설 시 희곡    시 희곡    세계의 시    국내도서    해외문학상 수상작    노벨문학상 수상작가    국내도서    미디어 추천    중앙일보    국내도서    YES24 올해의 책    2020년 올해의 책 후보도서    국내도서    YES24 올해의 책    2020년 올해의 책 선정도서     다시보는2020     새해결심     올해의책     노벨문학상수상작가     유퀴즈온더블럭_자기님들     마음챙김     다정한말들 ,0.7984618653853734,0.20153813461462658,4.533333333333333
460,97323025,"2021큰별쌤최태성의별별한국사한국사능력검정시험심화(1,2,3급)상",30,23, 국내도서    수험서 자격증    한국사능력검정시험    심화 1 2 3급     국내도서    수험서 자격증    한국사능력검정시험     분철     믿고보는명강사     한능검심화 ,0.7634325583775838,0.2365674416224162,4.866666666666666
463,97404754,나의첫투자수업1마인드편,30,24, 국내도서    경제 경영    투자 재테크    주식 증권     유튜버의책     부자되는법     경제교육     주린이힘내힘내      주식투자입문     주식투자     주식초보 ,0.6717325260241827,0.32826747397581735,4.666666666666667
600,99025783,괴물3:시크릿작가노트,1,24, 국내도서    예술    영화 드라마    시나리오 연출    국내도서    예술    연극 공연    희곡 연기     최애드라마소장     대본집     드라마대본집  ,0.801270604133606,0.19872939586639404,5.0
282,89938917,소원떡집,30,24, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     무료배송쿠폰도서 ,0.8694984922806422,0.1305015077193578,4.733333333333333
565,98859230,설레는건많을수록좋아,10,25, 국내도서    에세이    여행 에세이    국내도서    에세이    한국 에세이    국내도서    여행    여행에세이     떠나고싶다면      방구석여행     세계여행     청춘들에게     유튜버의책     유튜버     여행어디까지가봤니 ,0.8568500638008117,0.14314993619918823,4.9
540,98561058,위대한시크릿,21,25, 국내도서    자기계발    성공학 경력관리     나도몰랐던나를찾아     베스트셀러후속작 ,0.6466103040036701,0.3533896959963299,4.428571428571429
13,1984959,엘리어트파동이론,5,25, 국내도서    경제 경영    투자 재테크    주식 증권 ,0.5391386270523071,0.46086137294769286,4.8
548,98799454,무조건팔리는카피단어장,3,26, 국내도서    자기계발    성공학 경력관리    국내도서    자기계발    창조적사고 두뇌계발     무조건클릭카피     SNS마케팅     e커머스마케팅     디지털마케팅 ,0.6973252594470978,0.30267474055290217,4.666666666666667
695,101323172,우리가있던시간,4,26, 국내도서    에세이    한국 에세이 ,0.9559745043516159,0.044025495648384094,5.0
625,99146953,공간의미래,1,26, 국내도서    인문    주제로 읽는 인문학     공간   도시 ,0.556945264339447,0.443054735660553,5.0
363,93888691,2030축의전환,30,27, 국내도서    경제 경영    마케팅 세일즈    트렌드 미래예측     2030     김미경TV     아마존인기도서     미래전망     미래예측 ,0.7386550744374593,0.2613449255625407,4.4
405,96174953,애린왕자,13,27, 국내도서    소설 시 희곡    테마소설    어른을 위한 동화 우화    국내도서    소설 시 희곡    프랑스소설     SNS화제     20세기고전 ,0.7928265470724839,0.20717345292751604,4.9230769230769225
541,98568254,싱크어게인,15,27, 국내도서    경제 경영    CEO 비즈니스맨    성공학 경력관리    국내도서    자기계발    처세술 삶의 자세    국내도서    자기계발    창조적사고 두뇌계발    국내도서    미디어 추천    조선일보 ,0.7820618728796641,0.2179381271203359,4.733333333333333
552,98808494,GoGo카카오프렌즈19한국2,21,28, 국내도서    어린이    1 2학년    1 2학년 만화 애니메이션    1 2학년 학습만화    국내도서    어린이    3 4학년    3 4학년 만화 애니메이션    3 4학년 학습만화    국내도서    어린이    학습만화 코믹스    학습만화 ,0.8662658078329903,0.13373419216700963,4.904761904761905
115,37211852,아홉살마음사전,30,28, 국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화    국내도서    어린이    교과서수록도서    2학년2학기    국어4 가    국내도서    어린이    교과서 수록도서    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레    국내도서    YES24 올해의 책    2017년 올해의 책 후보도서    국내도서    YES24 올해의 책    2017년 올해의 책 선정도서     감정공부     세이브위드스토리     초등교과서수록도서     초등어휘     감정     책읽아웃 ,0.7620493531227112,0.2379506468772888,4.633333333333334
116,37300128,아몬드,30,28, 국내도서    소설 시 희곡    한국소설    한국 장편소설    국내도서    행복한아침독서 책둥이 추천    2018 년    청소년용 중3 고1     국내도서    해외문학상 수상작    일본서점대상 수상작    국내도서    미디어 추천    한겨레    국내도서    YES24 올해의 책    2017년 올해의 책 후보도서     방탄슈가가추천한책      방탄책방      방탄소년단이읽은책     서점대상     해외에서인기있는한국소설     연극뮤지컬원작     영어덜트소설     이별과성장     관계 ,0.712242391705513,0.287757608294487,4.733333333333333
634,99186679,디테일사전(시골편),3,29, 국내도서    인문    글쓰기     글쓰기 일반  ,0.9454924662907919,0.05450753370920817,5.0
664,99400284,2021선재국어실전봉투모의고사2,3,29, 국내도서    수험서 자격증    공무원    국어 한문     문제집 모의고사  ,0.7850937843322754,0.2149062156677246,5.0
461,97323030,"2021큰별쌤최태성의별별한국사한국사능력검정시험심화(1,2,3급)하",26,29, 국내도서    수험서 자격증    한국사능력검정시험    심화 1 2 3급     국내도서    수험서 자격증    한국사능력검정시험     분철     믿고보는명강사     한능검심화 ,0.79305643760241,0.20694356239759004,4.9230769230769225
518,98137426,130층나무집,30,30, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     모험을떠나요 ,0.8758185227711995,0.12418147722880045,4.9
226,79297023,[예스리커버]데일카네기인간관계론,30,30, 국내도서    자기계발    인간관계    인간관계 일반    국내도서    자기계발    인간관계    심리 성격 설득    국내도서    자기계발    인간관계    남녀관계 연애    국내도서    자기계발    성공학 경력관리     예스리커버     요즘책방 책읽어드립니다     인생지침서     대화의기술 ,0.8187797000010808,0.18122029999891917,4.7
172,66360714,12가지인생의법칙(30만부기념오리지널디자인리커버),30,30, 국내도서    인문    인문에세이    인문에세이     국내도서    인문    심리    주제로 읽는 심리학    쉽게 읽는 심리학    국내도서    인문    심리    주제로 읽는 심리학    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레    국내도서    YES24 올해의 책    2019년 올해의 책 후보도서     철학자의인생론     실용철학서     팩트폭행인생조언 ,0.7359877814849217,0.2640122185150782,4.666666666666667
213,75217405,이상한과자가게전천당1,29,31, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     환상동화 ,0.7724032484251877,0.22759675157481227,4.862068965517241
117,37525716,알사탕,30,31, 국내도서    유아    0 3세    1 3세 우리나라 그림책    국내도서    유아    4 6세    4 6세 우리나라 그림책    국내도서    유아    유아 그림책    유아 창작동화    국내도서    행복한아침독서 책둥이 추천    2018 년    유아용 4 7세      국내도서    한국출판문화산업진흥원 이달의 책    2017년    2017년 6월    국내도서    세종도서_ 구 문화체육관광부 우수도서    2017년 하  문학나눔    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레    국내도서    YES24 올해의 책    2017년 올해의 책 후보도서    국내도서    YES24 올해의 책    2017년 올해의 책 선정도서     KBS2TV북유럽     유퀴즈온더블럭_자기님들     린드그렌상수상작가     상상력     내향성     아이사랑     감정     판타지     관계 ,0.8585332155227661,0.14146678447723388,4.9
431,96971128,어떤죽음이삶에게말했다,27,31, 국내도서    에세이    삶의 자세와 지혜    국내도서    에세이    한국 에세이    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레     의사에세이      유퀴즈온더블럭_자기님들     죽음에관하여     희망     삶과죽음     성찰 ,0.9084301933094308,0.09156980669056927,4.814814814814816
643,99275107,부모와아이중한사람은어른이어야한다,4,32, 국내도서    가정 살림    자녀교육    좋은부모되기 ,0.7080724090337753,0.29192759096622467,5.0
88,22793441,5년후나에게Q&Aaday(2021메모리아화이트GiftEdition),30,32, 국내도서    자기계발    성공학 경력관리    국내도서    YES24 올해의 책    2016년 올해의 책 후보도서     다이어리북     미래의나에게     생활습관     관계 ,0.7518135587374369,0.24818644126256306,4.6
98,25283908,나는3학년2반7번애벌레,30,32, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     성장동화     애벌레     창비좋은어린이책 ,0.7420853614807129,0.2579146385192871,4.766666666666667
